Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10, 101, 1881, 1562.6, 441.5, 659.3, 20337.9, 0, 
10, 102, 7920, 63506.2, 758.9, 402.9, 1336.8, 0, 
20, 101, 1881, 1881.3, 449.8, 330.7, 9372.5, 0, 
20, 102, 7920, 67072.4, 773.2, 408.4, 1448.4, 0, 
30, 101, 1881, 2025.6, 447.2, 292.2, 5626.8, 0, 
30, 102, 7920, 70587.5, 783.2, 412.3, 1538.9, 0, 
40, 101, 1881, 2075.1, 444.2, 268.8, 4387.4, 0, 
40, 102, 7920, 74034.9, 791.1, 415.5, 1615, 0, 
50, 101, 1881, 2099.6, 441.1, 260.4, 3983.2, 0, 
50, 102, 7920, 77409.6, 797.3, 417.8, 1685.2, 0, 
